NumberOfNodes;Fanout2;Fanout4;Fanout6;Fanout8;Fanout10
1000;28.4545545545546;10.2780780780781;6.15125125125125;5.08968968968969;3.46566566566567
2000;54.4784892446223;18.7151075537769;12.0291645822911;6.759979989995;6.02656328164082
3000;67.71873957986;24.8414138046015;13.322540846949;9.92057352450817;6.79139713237746
4000;106.529382345586;35.6410102525631;17.0380845211303;13.4600900225056;8.39574893723431
5000;122.175275055011;49.4675535107021;22.0505901180236;19.4831366273255;10.3583593669514
6000;132.827654609102;63.7446295623017;27.6902150358393;19.7908818136356;12.5149191531922
7000;159.346906700957;65.140362908987;33.7414202028861;20.0561080154308;14.7587798256894
8000;210.647643455432;67.1543193539978;39.9903862982873;20.633566695837;17.0676459557445
9000;237.038019711805;70.5885209467719;47.9384264918324;21.8453717079676;19.4109012112457
10000;240.746074607461;76.4340934093409;55.3902190219022;23.5230123012301;21.7920592059206